id,longitude,latitude,tmcf,remove,country,realm,elevation,cloud,avg_temperature,min_temperature,max_temperature,precipitation,dewpoint,pressure,vswc
0,-69.183347,-14.966681,Ulla Ulla,,BOL,Neotropic,4722,0.0005357438,0.011691478,0.012088291,0.01223332,0.008858277,0.012553885,0.91450435,0.0004184262
1,-63.866681,-17.750014,Amboró,,BOL,Neotropic,955,0.0012346627,0.00650022,0.006844724,0.006935848,0.017107278,0.012636527,0.99505997,0.00040277274
2,-64.400014,-17.266653,Carrasco,,BOL,Neotropic,295,0.0011180593,0.0064757993,0.0070829173,0.007272014,0.02411314,0.00983223,1.0085838,0.0003185391
3,-64.500014,-20.000014,Tariquía,,BOL,Neotropic,3040,0.00096995925,0.008584199,0.009083339,0.009409443,0.0062725213,0.009366009,0.86784834,0.00030649605
4,-44.633319,-22.383319,Itatiaia,,BRA,Neotropic,2194,0.0009871501,0.010425079,0.01028435,0.010502879,0.020292804,0.01298245,1.08282,0.0003220817
5,-66.033319,0.333319,Pico da Neblina,,BRA,Neotropic,100,0.000664769,0.006893587,0.007632722,0.0076940437,0.010449264,0.005046886,0.82387686,0.00014769295
6,-44.500014,-22.833319,Serra do Bocaína,,BRA,Neotropic,1515,0.0011110044,0.011522141,0.011275585,0.011513838,0.021108171,0.012489998,1.0622225,0.00029532326
7,-49.549986,-28.133319,Sao Joaquim,,BRA,Neotropic,1600,0.000976615,0.013683313,0.013669594,0.013588348,0.020498151,0.014345276,1.0037817,0.00021192722
8,115.316653,4.333319,Gunung Pagon,,BRN,Indomalayan,1029,0.0005889072,0.0070840223,0.007198212,0.0073406184,0.025840417,0.006161126,1.3440143,0.00027886804
9,-84.000014,10.166681,Braulio Carrillo,,CRI,Neotropic,790,0.00078297564,0.0071809804,0.0075116837,0.007500181,0.035886813,0.008661743,0.52804965,0.0003170901
10,-85.383319,10.800014,Volcán Rincón de la Vieja,,CRI,Neotropic,975,0.00064212136,0.008172382,0.008701554,0.008895785,0.030796792,0.0060389335,0.6894911,0.00053056097
11,-83.783319,9.716681,Tapantí,,CRI,Neotropic,1441,0.00096939364,0.008592585,0.009180316,0.009228401,0.039322883,0.009281953,0.4320709,0.00023830628
12,-83.483319,9.483319,Chirripó,,CRI,Neotropic,3588,0.00094145845,0.008644344,0.009351001,0.0094118975,0.023315273,0.00876574,0.4409599,0.00019637981
13,-84.233319,10.199986,Volcán Poás,,CRI,Neotropic,2405,0.00061531644,0.0070725037,0.0076956437,0.007713794,0.03635443,0.0079032555,0.47822928,0.00030971083
14,-84.800014,10.283319,Monteverde Cloud Forest Reserve,,CRI,Neotropic,1123,0.0005559943,0.007502347,0.00822239,0.008355028,0.030754752,0.0072372933,0.59741324,0.0003600261
15,-91.533319,-0.349986,Fernandina,,ECU,Neotropic,1405,0.00074983237,0.027541174,0.02742221,0.02749768,0.002881149,0.020435723,1.364813,4.633115E-09
16,-91.116681,-0.800014,Isabela,,ECU,Neotropic,920,0.00092621654,0.020602012,0.02071864,0.02061481,0.005424947,0.021945713,1.2875794,0.00057014293
17,-90.349986,-0.616681,Santa Cruz,,ECU,Neotropic,536,0.000902514,0.022295428,0.022361819,0.022315882,0.004096383,0.022512753,1.4070927,0.0004846634
18,-78.615819,-0.366681,Atacazo,,ECU,Neotropic,4115,0.00052847946,0.010052347,0.010133424,0.010150431,0.018949723,0.008026591,0.5926997,0.00022355496
19,-77.816653,-0.016681,Cayambe-Coca,,ECU,Neotropic,2130,0.0005511874,0.008487189,0.007222754,0.0072237942,0.030534806,0.00784789,0.7515739,0.00019238848
20,-77.866681,0.365014,Cerro Mongus,,ECU,Neotropic,3028,0.0005697281,0.009230838,0.008515181,0.008647086,0.014875481,0.007098389,0.67010325,0.0006125332
21,-78.000014,-0.483319,Cordillera de Guacamayo,,ECU,Neotropic,2914,0.0005404622,0.008372329,0.007386663,0.0072803893,0.024893804,0.008027805,0.7794407,9.56444E-05
22,-78.966681,-4.133319,Podocarpus National Park,,ECU,Neotropic,1497,0.001068892,0.009539178,0.007556689,0.0076532373,0.016032327,0.007330321,0.6955895,0.00029841904
23,-79.116681,-2.816681,Río Mazan,,ECU,Neotropic,3741,0.0004677746,0.010312835,0.00834066,0.00827873,0.013500963,0.0076372735,0.6370637,0.00024700805
24,-78.333347,-2.000014,Sangay,,ECU,Neotropic,4758,0.0005009074,0.009621115,0.007512222,0.007426204,0.024085011,0.0076877936,0.7791622,0.0002823901
25,-78.583347,-0.100014,Volcán Pichincha,,ECU,Neotropic,3215,0.0005715202,0.009315335,0.009492307,0.0096144,0.014977306,0.00783891,0.54610276,0.00016100204
26,-100.250014,17.416681,Sierra de Atoyac,,MEX,Neotropic,1265,0.00049895764,0.006257758,0.005846437,0.0057628034,0.016879518,0.0087405415,0.7007368,0.00031108534
27,-98.316653,20.316681,Cerra Viejo,,MEX,Neotropic,2385,0.00086287246,0.007945258,0.008131484,0.008315706,0.01059949,0.007483381,1.0140517,0.00033649046
28,-103.266681,19.433319,Espinazo del Diablo,,MEX,Neotropic,1775,0.00053947105,0.0061969645,0.006167409,0.0064600245,0.010607937,0.013873975,0.79161555,0.00038929036
29,-99.300014,23.133319,El Cielo,,MEX,Neotropic,1839,0.00095960416,0.012059114,0.0118134245,0.012396646,0.016558666,0.011064824,1.239244,0.00050068734
30,-105.000014,21.516653,El Nayer,,MEX,Neotropic,1151,0.0010601367,0.00888976,0.008059723,0.0081115635,0.009243822,0.013362946,0.7797541,0.00041508622
31,-99.050014,18.466681,Huautla,,MEX,Neotropic,1329,0.00027532302,0.0091452645,0.008871629,0.009167566,0.009020629,0.015962647,0.8742261,0.00046294546
32,-98.666653,19.166681,Iztacihuatl-Popocat‚petl,,MEX,Neotropic,3991,0.00063576095,0.00847025,0.008909124,0.009168101,0.011292662,0.014057851,0.7545365,0.00037713308
33,-98.000014,19.233347,"Volcán la Malinche, Tlaxcala-Puebla",,MEX,Neotropic,3676,0.0005797117,0.008602229,0.008927468,0.009199489,0.011374071,0.012448907,0.7841427,0.00038051032
34,-91.666653,16.166681,Lagunas de Montebello,,MEX,Neotropic,1323,0.000641876,0.0089760935,0.009463358,0.009640544,0.02208389,0.0071204933,0.8456372,0.00028085036
35,-96.550014,16.066681,Loxicha,,MEX,Neotropic,2171,0.00054281286,0.0062830257,0.0069512706,0.006968409,0.018988434,0.010456938,0.69505584,0.00021898531
36,-95.199986,18.549986,"Volcán San Martín, Veracruz",,MEX,Neotropic,1381,0.00066114205,0.007692085,0.0074259485,0.007517811,0.026028048,0.00808387,1.3842744,0.00016235371
37,-94.833347,18.383319,"Sierra de Santa Martha, Veracruz",,MEX,Neotropic,780,0.000607333,0.00792714,0.007973937,0.0081008645,0.02988593,0.007815643,1.2864987,0.00023564075
38,-97.000014,19.383319,"Teocelo, Veracruz",,MEX,Neotropic,1246,0.00079321227,0.0081629045,0.007814842,0.0079343105,0.013290293,0.0069644437,1.077702,0.00038857656
39,-99.750014,19.249986,"Nevado de Toluca, State of México",,MEX,Neotropic,2837,0.0007958748,0.008416325,0.008911485,0.009194481,0.008944737,0.015355748,0.7340948,0.0004985952
40,-99.166653,21.249986,Xilitla,,MEX,Neotropic,1891,0.0011681472,0.009255788,0.009348278,0.009840478,0.014745298,0.008067681,1.1857321,0.0004509988
41,-92.883319,15.666681,El Triunfo,,MEX,Neotropic,1850,0.0005612326,0.006128033,0.006781376,0.0068161595,0.025246259,0.0080953175,0.6769308,0.00020658331
42,-92.683347,16.733347,Huitepec,,MEX,Neotropic,2483,0.00069827924,0.007287872,0.007909067,0.007859094,0.012729732,0.008192766,0.7367443,0.00021691032
43,-82.800014,9.149986,Volcán Barú/Volcan Chiriqui,,PAN,Neotropic,2570,0.00062156393,0.008094701,0.008452876,0.0083454,0.023955492,0.0084608635,0.4583471,0.00019187051
44,-71.666653,-12.500014,Manú,,PER,Neotropic,1727,0.0006318748,0.008152302,0.0067202584,0.006645061,0.025431385,0.006996157,0.9785628,0.00013828378
45,-78.366681,-5.583319,Northern Cordillera del Colán,,PER,Neotropic,2108,0.00082155433,0.013712409,0.011956998,0.012374389,0.012381831,0.006984269,0.7963927,0.00060827634
46,-78.050014,-5.733319,Southern Cordillera del Colán,,PER,Neotropic,2226,0.00069895113,0.008473437,0.0075253607,0.0075082825,0.012139507,0.0069123954,0.7436283,0.00014879803
47,-89.383319,14.416681,Montecristo,,SLV,Neotropic,1822,0.0004919292,0.01004716,0.009415821,0.009568126,0.014759435,0.009580431,0.71621543,0.00031745355
48,-66.050014,-16.200014,Isiboro Sécure,,BOL,Neotropic,255,0.00079061656,0.008383638,0.009302609,0.009588709,0.020109767,0.01112213,1.0215167,0.00038334687
49,-68.500014,-13.166681,Madidi,,BOL,Neotropic,226,0.0007708237,0.008684929,0.008495297,0.008856578,0.024304645,0.011415968,1.0692766,0.00036702649
50,37.999986,12.999986,Simen Mountains,,ETH,Paleartic,2238,0.0004224572,0.008252028,0.006883397,0.0069512255,0.0077409325,0.013009407,0.87057173,0.00016160923
51,-78.633319,-3.016681,Zapote Najda Mountains,,ECU,Neotropic,3283,0.0008984828,0.009731667,0.0073262374,0.0074193226,0.016873332,0.0069355257,0.7607344,0.00026706082
52,-77.633319,-0.566681,Volcán Sumaco,,ECU,Neotropic,2682,0.00042334961,0.008405911,0.007257887,0.007183272,0.043235146,0.008025706,0.7710493,9.5349E-05
53,-80.683347,-1.649986,Machalilla,,ECU,Neotropic,256,0.0015778537,0.01924237,0.017919056,0.017993616,0.027105667,0.016891524,1.0783129,0.0006902687
54,-79.733319,-3.674431,Buenaventura,,ECU,Neotropic,943,0.00081035896,0.012340628,0.010389032,0.010436091,0.046542004,0.010045094,0.6807117,0.00030719512
55,-79.283319,-3.633319,Huashapamba,,ECU,Neotropic,2664,0.0006296803,0.010998984,0.009049358,0.009088504,0.011491794,0.007062119,0.56234765,0.00031426284
56,-79.949986,-3.950014,Vicentino,,ECU,Neotropic,889,0.0010038437,0.012524807,0.0105545055,0.010656364,0.050886206,0.011220571,0.66523933,0.00044931352
57,-80.000014,-4.000014,Alamor,,ECU,Neotropic,1226,0.001132938,0.013005869,0.0110283485,0.011113606,0.053169597,0.012884965,0.7204739,0.00049648096
58,-79.971653,-4.124181,Celica,,ECU,Neotropic,1623,0.001149517,0.012352422,0.01053536,0.010695846,0.043902643,0.011652454,0.6384383,0.00044996256
59,-79.800014,-4.333319,Sozoranga,,ECU,Neotropic,1505,0.0011479196,0.012066982,0.010620914,0.010843344,0.029637478,0.010863152,0.58104557,0.00039346944
60,-79.366681,-4.566681,Angashcola,,ECU,Neotropic,2814,0.00049546757,0.009909887,0.00817348,0.008249414,0.014065202,0.0070175854,0.5352154,0.00027213813
61,-78.650014,-4.366681,Shaime,,ECU,Neotropic,1022,0.0007943044,0.009465841,0.007503443,0.007686599,0.021876557,0.007060241,0.8361343,0.00018615008
62,-78.572514,-3.996681,Chinapinza,,ECU,Neotropic,1892,0.00080292585,0.009731342,0.007613062,0.0077987965,0.02074426,0.007045049,0.81336963,0.00024478175
63,-64.583347,-18.616681,Palmares de Pasopaya-Presto-Rodeo,,BOL,Neotropic,1358,0.00076822535,0.008498711,0.009411066,0.009853414,0.004506581,0.010352445,0.86717314,0.00042279172
64,-48.166097,-24.245819,Fazenda Intervales,,BRA,Neotropic,784,0.00088091026,0.01152477,0.012504801,0.012581592,0.015639152,0.011910141,1.0248355,0.00026400707
65,-45.175847,-23.468597,Bairro de Corcovado,,BRA,Neotropic,23,0.0008070772,0.010881293,0.011052566,0.011095526,0.019090755,0.011863541,1.0522335,0.00010875177
66,7.366681,1.566681,Principe Island,,STP,Paleartic,129,0.00079275307,0.0062335827,0.006158596,0.006232985,0.02722141,0.0063544177,0.8978143,4.6331143E-09
67,-78.248625,-4.503319,Río Comaina and Río Cenepa,,PER,Neotropic,894,0.00071473327,0.010000349,0.008442212,0.008672887,0.02723332,0.006764423,0.92677385,0.00022580498
68,-79.733319,-4.583319,Cerro Chacas,,PER,Neotropic,1737,0.0008799372,0.011393777,0.010135916,0.010260357,0.019581722,0.009765744,0.5316624,0.0003031516
69,-79.383319,-5.099986,Cerro Chinguela,,PER,Neotropic,3028,0.00059786334,0.00900326,0.0074734082,0.007482565,0.009088039,0.00672701,0.57038534,0.00023353485
70,-77.686681,-5.769181,Abra Patricia,,PER,Neotropic,2251,0.0004946791,0.007956749,0.00727591,0.007241405,0.0134338355,0.0063414555,0.7914523,0.00020913624
71,-77.766681,-6.683319,Leimebamba,,PER,Neotropic,2935,0.00055937783,0.009008162,0.007884634,0.00798508,0.009902099,0.008534561,0.79664654,0.00025988297
72,-77.483319,-7.533319,Río Abiseo,,PER,Neotropic,3522,0.0003579598,0.008849059,0.007833632,0.007876396,0.011069635,0.00743537,0.8602451,0.00029827576
73,-77.151097,-8.206097,Cumpang and Utcubamba,,PER,Neotropic,2905,0.0004482248,0.009498721,0.008231072,0.008255397,0.013057657,0.009050437,0.88046616,0.0001751325
74,-74.716681,-9.348347,Cerros de Sira,,PER,Neotropic,1384,0.00070832693,0.009025627,0.008730751,0.008834562,0.022288738,0.0075046527,0.95061827,0.00022311108
75,-76.116125,-9.699986,Bosque Unchog,,PER,Neotropic,2099,0.0003232062,0.009547177,0.0077091996,0.007628593,0.0126538575,0.008878056,0.91457444,0.00018914248
76,-77.466681,-9.750014,Huascarán,,PER,Neotropic,3688,0.00070963096,0.012583402,0.010772556,0.0107545415,0.009600761,0.011063971,0.8406548,0.0003008363
77,-82.800014,9.149986,La Amistad,yes,PAN,Neotropic,2570,0.00062156393,0.008094701,0.008452876,0.0083454,0.023955492,0.0084608635,0.4583471,0.00019187051
78,-91.551097,14.743319,Volcán Santa María,,GTM,Neotropic,2863,0.0006496892,0.007619873,0.007903527,0.007858467,0.028447572,0.008926596,0.5622841,0.00022006514
79,-91.199986,14.616681,Volcán Atitlán,,GTM,Neotropic,2454,0.00079097063,0.007867793,0.007909307,0.007924963,0.026482077,0.010172002,0.57989067,0.00021645224
80,-91.199986,14.499986,Finca Mocca Private Reserve,,GTM,Neotropic,784,0.0006613115,0.008349586,0.008269231,0.0083629945,0.031207995,0.009074242,0.605655,0.00024043368
81,-90.883319,14.483319,Volcán Acatenango,,GTM,Neotropic,3420,0.00072960794,0.008361042,0.008168409,0.008187669,0.02809286,0.010022424,0.58607453,0.00021872306
82,-77.666653,0.499986,Playón de San Francisco,,ECU,Neotropic,3364,0.00059259555,0.009198339,0.008214145,0.00829105,0.021590266,0.007026896,0.71250373,0.00047153982
83,-92.199986,15.100014,Volcán Tacaná,,MEX,Neotropic,942,0.0006067112,0.007605822,0.007997726,0.008173414,0.027206838,0.007555352,0.6314274,0.0002683914
84,-91.766681,16.466681,Las Margaritas,,MEX,Neotropic,2033,0.0008385666,0.009213369,0.009674684,0.009900196,0.019444542,0.00827318,1.025883,0.00042928726
85,-91.849986,16.916681,"Ocosingo, Chiapas",,MEX,Neotropic,720,0.00066732435,0.008720662,0.009511337,0.009716412,0.020074032,0.008021673,1.0299047,0.00035771108
86,-93.416653,16.516653,Cerro Tres Picos,,MEX,Neotropic,1260,0.00062807155,0.0061923196,0.0074709617,0.0075388076,0.014958813,0.0071654427,0.7945005,0.000256637
87,-94.199986,16.766653,Los Chimalapas,,MEX,Neotropic,1660,0.00074573397,0.0067522516,0.0077245156,0.007863489,0.019046908,0.007377354,0.8293348,0.0002561098
88,-92.866681,17.183319,"Region Norte, Chiapas",,MEX,Neotropic,1792,0.00081483397,0.007491321,0.008367463,0.008469757,0.022911767,0.0066633634,0.8841593,0.00026123278
89,-83.866681,9.983319,Irazu Volcano,,CRI,Neotropic,2882,0.00082636246,0.007937891,0.008454913,0.008448505,0.023936529,0.009213574,0.44332105,0.00020932687
90,-83.300014,9.466681,La Amistad,,CRI,Neotropic,1913,0.0007490102,0.0084014805,0.0090352995,0.009039414,0.024375092,0.00875364,0.4407133,0.00021888959
91,-83.911931,9.707514,Genesis II Cloud Forest Preserve,,CRI,Neotropic,2387,0.001018512,0.008643574,0.009396016,0.009475374,0.022056455,0.008797376,0.44155344,0.00023349727
92,-83.616681,9.583319,Río Macho,,CRI,Neotropic,2904,0.0009008086,0.008541589,0.009192117,0.009221683,0.029754017,0.008935551,0.4339733,0.00019814915
93,-83.883319,9.583319,Los Santos,,CRI,Neotropic,2656,0.0009769901,0.008547403,0.009466715,0.009551561,0.023721848,0.008085263,0.4877382,0.00019106106
94,-85.449986,10.933347,Volcán Cacao,,CRI,Neotropic,1578,0.0005069768,0.0075941775,0.00804608,0.008231237,0.02876864,0.0055886246,0.671407,0.00044024852
95,-89.633319,13.866681,Santa Ana,,SLV,Neotropic,1980,0.00078713516,0.010679549,0.010122196,0.010287792,0.022151416,0.010424852,0.6570878,0.00024738733
96,-89.283319,13.749986,San Salvador,,SLV,Neotropic,1565,0.00071157713,0.011233824,0.01082823,0.011133762,0.020861126,0.011661265,0.6780994,0.00025405997
97,-88.849986,13.600014,San Vicente,,SLV,Neotropic,1778,0.00077055505,0.010190916,0.010048666,0.010314773,0.02426492,0.011722343,0.685406,0.00024956034
98,-89.633319,13.866681,Los Andes,yes,SLV,Neotropic,1980,0.00078713516,0.010679549,0.010122196,0.010287792,0.022151416,0.010424852,0.6570878,0.00024738733
99,-89.699986,13.883319,San Rafael Los Naranjos/El Campanil,,SLV,Neotropic,1495,0.0008346002,0.010006193,0.009398392,0.009470756,0.023063015,0.010407665,0.6472072,0.00021670714
100,-89.349986,13.716681,Santa María,,SLV,Neotropic,630,0.00073292357,0.010765656,0.010241771,0.010480857,0.02086962,0.011147703,0.6622659,0.00021048824
101,-89.800014,13.899986,Laguna Las Ninfas,,SLV,Neotropic,1117,0.0008346002,0.010006193,0.009398392,0.009470756,0.024160326,0.010407665,0.6472072,0.00021670714
102,-90.883319,14.466681,Volcán de Fuego,,GTM,Neotropic,3193,0.00072960794,0.008361042,0.008168409,0.008187669,0.02809286,0.010022424,0.58607453,0.00021872306
103,-81.766681,8.499986,Cerro Santiago,,PAN,Neotropic,1658,0.00056620425,0.008254446,0.008592102,0.008655292,0.04695424,0.006714683,0.5537063,0.0002599132
104,-79.400014,9.149986,Cerro Azul,,PAN,Neotropic,415,0.00046857694,0.008338784,0.0078844065,0.007964237,0.026727272,0.006802809,0.71713215,0.00025150712
105,-79.550014,9.466681,Cerro Bruja,,PAN,Neotropic,420,0.0005575355,0.0074690427,0.0071375743,0.0071050655,0.04711995,0.0067347167,0.67052335,0.00021984203
106,-79.366681,9.233319,Cerro Jefe,,PAN,Neotropic,679,0.000452681,0.008425681,0.007796813,0.00783532,0.03634646,0.0070971954,0.68981326,0.00027799496
107,-82.750014,8.899986,Cerro Pando,,PAN,Neotropic,1870,0.00087204925,0.008603231,0.009382977,0.009389608,0.034796875,0.008043556,0.48596418,0.00020827065
108,-80.699986,7.283319,Cerro Hoya,,PAN,Neotropic,599,0.001120905,0.0090691745,0.009276166,0.009506033,0.023070378,0.0065733255,0.8494787,0.00015531815
109,-77.300014,8.149986,Cerro Tacarcuna,,PAN,Neotropic,1760,0.0006549242,0.009837807,0.009918995,0.010078534,0.031123826,0.0073267994,0.7328193,0.00035814717
110,-77.716681,7.866681,Cerro Pirre,,PAN,Neotropic,896,0.00058792497,0.010056361,0.010087111,0.010359702,0.029715631,0.007440943,0.7479243,0.00042061086
111,-78.383319,7.949986,Cerro Sapo,,PAN,Neotropic,316,0.0006663094,0.008291376,0.008386681,0.008547092,0.036595948,0.0062458394,0.82703865,0.00020154228
112,39.999986,6.999986,Bale Mountains,,ETH,Paleartic,2689,0.0009911658,0.007940548,0.005945436,0.0061330018,0.009255138,0.021663757,0.9189212,0.00045164328
113,145.800014,-17.583319,Mount Bartle Frere,,AUS,Australasia,467,0.001504985,0.011666446,0.0119939875,0.011955987,0.05853929,0.01609842,1.4554875,0.00043643938
114,145.866681,-17.716681,Mount Bellenden Ker,,AUS,Australasia,79,0.0014269907,0.011562611,0.011965583,0.011937018,0.061451443,0.015655505,1.4864764,0.00044546422
115,115.199986,4.483319,Bukit Belalong,,BRN,Indomalayan,528,0.00063830096,0.0061543877,0.006794302,0.007009023,0.024756666,0.0074431403,1.3673413,0.0002739713
116,80.800014,6.933319,Hakgala Peak,,LKA,Indomalayan,1805,0.0005021032,0.0074111633,0.0073590833,0.0076060784,0.022529293,0.005194535,1.276645,0.00044290704
117,80.749986,6.800014,Kirigalpota,,LKA,Indomalayan,1964,0.00051111967,0.007201246,0.007231861,0.007482898,0.02298978,0.0048156697,1.285721,0.00044063156
118,80.516681,6.783319,Sri Pada/Adam's Peak,,LKA,Indomalayan,1704,0.0005734764,0.0065540713,0.0065834257,0.006776791,0.02930045,0.0048784507,1.2314203,0.0002683838
119,80.749986,7.016681,Pidurutalagala,,LKA,Indomalayan,2237,0.00050744927,0.007725143,0.007590145,0.007859558,0.024815371,0.005535584,1.2747241,0.00046965046
120,80.749986,6.916681,Conical Hill,,LKA,Indomalayan,1610,0.0005021032,0.0074111633,0.0073590833,0.0076060784,0.020674694,0.005194535,1.276645,0.00044290704
121,80.716681,6.983319,Kikilimana,,LKA,Indomalayan,1865,0.0005021032,0.0074111633,0.0073590833,0.0076060784,0.023793016,0.005194535,1.276645,0.00044290704
122,80.800014,7.047208,Mahakudugala,,LKA,Indomalayan,1702,0.00050744927,0.007725143,0.007590145,0.007859558,0.025601786,0.005535584,1.2747241,0.00046965046
123,81.116681,6.933319,Namunukula,,LKA,Indomalayan,1837,0.0004527299,0.009246742,0.009219363,0.009579461,0.024872398,0.0071257097,1.4091889,0.0005417348
124,80.666653,6.933319,Nanuoya,,LKA,Indomalayan,1215,0.0004915665,0.007119679,0.0070795133,0.007301891,0.025031848,0.0048569595,1.244877,0.00036818185
125,80.849986,7.016681,Ragala,,LKA,Indomalayan,1588,0.00047248238,0.008271774,0.008285029,0.00857326,0.025973856,0.006656352,1.3307176,0.00045124727
126,80.833347,7.366681,Knuckles,,LKA,Indomalayan,1363,0.0005725062,0.00881177,0.0087407725,0.009102502,0.027957948,0.0065978896,1.3568331,0.00047072393
127,80.733319,7.466681,Gombaniya,,LKA,Indomalayan,1508,0.00057752075,0.008016539,0.007765091,0.008083684,0.027862245,0.005759054,1.3200146,0.0003967027
128,80.783319,7.466681,Kalupahana,,LKA,Indomalayan,730,0.00057752075,0.008016539,0.007765091,0.008083684,0.029084079,0.005759054,1.3200146,0.0003967027
129,80.866681,7.383319,Dumbanagala,,LKA,Indomalayan,1429,0.0005725062,0.00881177,0.0087407725,0.009102502,0.029574608,0.0065978896,1.3568331,0.00047072393
130,109.699986,18.950014,Wuzhi Mountain,,CHN,Indomalayan,768,0.0008356435,0.01321213,0.012167625,0.01228174,0.02213498,0.013882883,1.382345,0.0005665685
131,93.916653,21.200014,Natma Taung/Mount Victoria,,MMR,Indomalayan,2240,0.00064035185,0.009367675,0.009643443,0.009847099,0.036576256,0.00624814,1.3059437,0.00026723227
